tx	gene_id	SAMN36978213_MG	SAMN36978214_MG	SAMN36978215_MG	SAMN36978216_A1G	SAMN36978217_A1G	SAMN36978218_A1G	SAMN36978219_GC	SAMN36978220_GC	SAMN36978221_GC
ENSMUST00000143680	ENSMUSG00000000134	0.099261	0.200144	0.11666	0.395509	0.239891	0.689344	0.151737	0.2112	0.215167
ENSMUST00000144715	ENSMUSG00000000134	0	0	0	0.562809	0	0.157553	0	0	0
ENSMUST00000144900	ENSMUSG00000000134	0	0	2.420088	0	0	0	0	0.843246	0
ENSMUST00000052915	ENSMUSG00000000142	1.561988	0.89628	2.576907	1.594226	2.176364	2.748817	1.379592	1.740771	2.091994
ENSMUST00000106711	ENSMUSG00000000142	0	0.811387	0	0	0	0	0	0	0
ENSMUST00000139682	ENSMUSG00000000142	0.752072	0	0	0	0	0	1.34961	1.663555	1.12242
ENSMUST00000140821	ENSMUSG00000000142	0.465562	0	0.338541	0.505967	0.282991	1.80452	0	1.263996	0.519798
ENSMUST00000144130	ENSMUSG00000000142	0	0	0	0	0	0	0	0.124001	0.203643
ENSMUST00000144511	ENSMUSG00000000142	0	0	0	0.362703	0	0	0	0	0
ENSMUST00000152909	ENSMUSG00000000142	0	0	0	0	0	0	2.485656	0	0
ENSMUST00000041588	ENSMUSG00000000148	2.472547	3.220632	0.839839	1.143862	0	4.051253	1.056486	0	0
ENSMUST00000100505	ENSMUSG00000000148	1.807406	1.39362	2.693032	3.128819	3.808804	1.237949	2.829512	3.233536	2.424364
ENSMUST00000110806	ENSMUSG00000000148	0	0.126869	0	0	0	0.114522	0.301313	0.234608	0.604057
ENSMUST00000124892	ENSMUSG00000000148	0	0.050563	0	0	0	0.051982	0	0.02356	0
ENSMUST00000131905	ENSMUSG00000000148	0.18722	0	0.242937	0.58093	0.293619	0.588393	0.058197	0.301524	0.219723
ENSMUST00000153440	ENSMUSG00000000148	0	0	0	0.145048	0.913488	0.38177	0.431761	1.178729	0.852116
ENSMUST00000000153	ENSMUSG00000000149	65.725623	54.288284	43.881316	54.424662	55.688864	45.48184	46.914739	33.821905	28.117483
ENSMUST00000198447	ENSMUSG00000000149	0	0	0	0	0	0	0	0	0
ENSMUST00000052348	ENSMUSG00000000154	59.324332	60.054597	56.560047	49.242523	39.455491	60.739983	35.72573	41.199513	31.830344
ENSMUST00000105917	ENSMUSG00000000154	15.766812	15.071862	21.977188	12.332889	22.657741	23.736865	13.680349	10.36782	16.458651
ENSMUST00000141988	ENSMUSG00000000154	3.977085	4.503797	2.458408	4.605873	2.912621	4.828835	1.805054	1.598956	2.378088
ENSMUST00000145943	ENSMUSG00000000154	0.319669	2.064413	1.227376	1.649712	0.172284	0.154474	0.829594	0	0.764751
ENSMUST00000146983	ENSMUSG00000000154	0	0	0	12.310971	30.547634	0	0	0	0
ENSMUST00000150791	ENSMUSG00000000154	0	0.228741	2.031942	0	0.720678	0.663249	0	0.703295	0
ENSMUST00000000161	ENSMUSG00000000157	0	0	0	0	0	0	0	0	0
ENSMUST00000113773	ENSMUSG00000000157	0	0	0	0	0	0	0	0.02045	0.042511
ENSMUST00000131567	ENSMUSG00000000157	0	0	0	0	0	0	0	0	0
ENSMUST00000131777	ENSMUSG00000000157	0	0	0	0	0	0	0	0	0
ENSMUST00000000163	ENSMUSG00000000159	0	0	0	0	0	0	0	0	0
ENSMUST00000081093	ENSMUSG00000000159	18.213052	16.999726	19.377637	15.344597	16.774843	16.910748	13.247375	15.419578	13.031627
ENSMUST00000113794	ENSMUSG00000000159	4.61093	4.042547	3.080402	5.25982	5.057857	3.619549	4.670174	3.72528	4.795538
ENSMUST00000113795	ENSMUSG00000000159	0	0	0	0	0	0	0	0	0
ENSMUST00000136292	ENSMUSG00000000159	0	0.647604	0	0.397112	0	0.568561	0	0.369039	0
ENSMUST00000139595	ENSMUSG00000000159	4.594165	0	0	0	0	0	0	0	0
ENSMUST00000000171	ENSMUSG00000000167	0.319667	0.206424	0	0.925988	0.122698	0.441963	0.471376	0.433973	0
ENSMUST00000124029	ENSMUSG00000000167	0	0.112012	0.211638	0.210735	0.513294	0.061726	0	0	0.141396
ENSMUST00000125606	ENSMUSG00000000167	0	0	0	0	0	0	0	0	0
ENSMUST00000132187	ENSMUSG00000000167	0	0	0.378783	0	0	0	0	0	0.247772
ENSMUST00000141366	ENSMUSG00000000167	0	0	0	0.232375	0	0	0	0	0
ENSMUST00000151197	ENSMUSG00000000167	0	0	0	0	0	0	0	0	0
ENSMUST00000155773	ENSMUSG00000000167	0	0	1.29389	0	0	0.327384	0	0	1.410024
ENSMUST00000034567	ENSMUSG00000000168	12.00995	11.300043	14.461364	18.046899	16.627926	18.690267	17.162489	17.891976	15.943941
ENSMUST00000125919	ENSMUSG00000000168	8.1827	13.42291	7.953544	6.67643	3.071881	5.868601	0	17.162924	13.096273
ENSMUST00000126933	ENSMUSG00000000168	0.559753	0	0	0	0	0	0	0	0
ENSMUST00000132455	ENSMUSG00000000168	0	1.945497	0	0.268116	0	0	0	0	0
ENSMUST00000142275	ENSMUSG00000000168	0	0	0	0	0	0	0	0	0
ENSMUST00000155417	ENSMUSG00000000168	0	0	0	0	0	0	0	0	0
ENSMUST00000000175	ENSMUSG00000000171	193.175517	197.181121	195.875631	214.519797	231.120337	200.766279	211.081295	223.679396	179.154133
ENSMUST00000000186	ENSMUSG00000000182	0	0	0	0	0	0	0	0	0
ENSMUST00000000187	ENSMUSG00000000183	0	0	0	0	0	0	0	0	0
ENSMUST00000000188	ENSMUSG00000000184	1.553915	1.443775	1.596098	1.777306	1.531664	2.221579	1.091307	1.028819	0.753444
ENSMUST00000201066	ENSMUSG00000000184	0	0	0	0	0	0	0	0	0
ENSMUST00000201564	ENSMUSG00000000184	0	0	0	0	0	0	0	0	0
ENSMUST00000201637	ENSMUSG00000000184	0	0	0	0	0	0	0	0.083445	0
ENSMUST00000201857	ENSMUSG00000000184	0	0	0	0	0	0	0	0	0
ENSMUST00000201902	ENSMUSG00000000184	0	0	0	0	0	0	0	0	0
ENSMUST00000201985	ENSMUSG00000000184	0	0	0	0	0	0	0	0	0
ENSMUST00000202363	ENSMUSG00000000184	0	0	0	0	0	0.019402	0	0.016474	0
ENSMUST00000056433	ENSMUSG00000000194	4.652002	4.476357	3.482389	4.36858	3.752792	4.434798	3.475431	3.557981	2.318682
ENSMUST00000127872	ENSMUSG00000000194	0	0.23559	0	0.433921	0	0	0	0.421297	0
ENSMUST00000133207	ENSMUSG00000000194	0	0	0	0	0	0	0	0	0
ENSMUST00000146747	ENSMUSG00000000194	0	0	0	0	0	0	0	0	0
ENSMUST00000147099	ENSMUSG00000000194	0	0.376763	0.046728	0.094546	0.187765	0.106139	0.172179	0.148085	0.030791
ENSMUST00000149622	ENSMUSG00000000194	0	0	0	0	0	0	0	0	0
ENSMUST00000151991	ENSMUSG00000000194	0	0	0	0	0	0	0	0	0
ENSMUST00000153032	ENSMUSG00000000194	0	0	0	0	0	0	0	0	0
ENSMUST00000169333	ENSMUSG00000000194	0	0	0	0	0	0	0	0	0
ENSMUST00000172422	ENSMUSG00000000194	1.195646	0.951808	1.78675	2.943616	1.796543	1.583632	2.757752	1.927792	1.60758
ENSMUST00000194084	ENSMUSG00000000194	0	0	0	0.01989	0	0.045009	0	0	0.019185
ENSMUST00000000201	ENSMUSG00000000197	0	0	0	0	0	0	0	0	0
ENSMUST00000000206	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000137965	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000141386	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000141481	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000146853	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000156053	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000156192	ENSMUSG00000000202	0	0	0	0	0	0	0	0	0
ENSMUST00000000208	ENSMUSG00000000204	0	0	0	0	0	0	0	0.074287	0
ENSMUST00000167596	ENSMUSG00000000204	0.094393	0.061329	0.025256	0.103258	0.040761	0.038574	0.046497	0	0.032906
ENSMUST00000000219	ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUST00000105929	ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUST00000123057	ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUST00000124951	ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUST00000138482	ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUST00000140344	ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUST00000000220	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000105930	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000105931	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000105932	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000105933	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000105934	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000125933	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000162317	ENSMUSG00000000215	0	0	0	0	0	0	0	0	0
ENSMUST00000000221	ENSMUSG00000000216	0	0	0	0	0	0	0	0	0
ENSMUST00000000228	ENSMUSG00000000223	0	0	0	0	0	0	0	0	0
ENSMUST00000113224	ENSMUSG00000000223	0	0	0	0	0	0	0	0	0
ENSMUST00000113226	ENSMUSG00000000223	0	0	0	0	0	0.037331	0	0	0
ENSMUST00000113228	ENSMUSG00000000223	0	0	0	0	0	0	0	0	0
ENSMUST00000142146	ENSMUSG00000000223	0	0	0	0	0	0	0	0	0
ENSMUST00000153424	ENSMUSG00000000223	0	0	0	0	0	0	0	0	0
ENSMUST00000009396	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000075172	ENSMUSG00000000244	0	0	0	0.040998	0	0	0	0	0
ENSMUST00000082008	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000105923	ENSMUSG00000000244	0	0	0	0.25869	0	0	0	0	0
ENSMUST00000105924	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000105925	ENSMUSG00000000244	0	0	0	0	0	0.055142	0	0	0.147401
ENSMUST00000141186	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000143512	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000145212	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000154264	ENSMUSG00000000244	0	0	0	0	0	0	0	0	0
ENSMUST00000000253	ENSMUSG00000000247	0.904548	1.271922	0.912911	1.485704	0.890406	0.912171	1.522127	1.525774	0.937897
ENSMUST00000133661	ENSMUSG00000000247	0	0	0	0	0	0	0	0	0
ENSMUST00000143783	ENSMUSG00000000247	0	0	0	0.096202	0.261978	0	0	0	0.118694
ENSMUST00000149664	ENSMUSG00000000247	0	0	0	0	0	0	0	0	0
ENSMUST00000155964	ENSMUSG00000000247	0	0	0	0	0	0	0	0	0
ENSMUST00000175896	ENSMUSG00000000247	0	0	0	0.070191	0	0	0	0.193899	0
ENSMUST00000176229	ENSMUSG00000000247	0	0	0	0	0.819337	0.23193	0	0	0
ENSMUST00000000254	ENSMUSG00000000248	0	0	0	0	0	0	0	0	0
ENSMUST00000075789	ENSMUSG00000000248	0	0	0	0	0	0	0.336081	0	0
ENSMUST00000142388	ENSMUSG00000000248	0	0	0	0	0	0	0	0	0
ENSMUST00000146925	ENSMUSG00000000248	0	0	0	0	0	0	0	0	0
ENSMUST00000000260	ENSMUSG00000000253	0.529448	0	0.304703	0.61076	0.577599	0.496361	0.055236	0.668743	0.163763
ENSMUST00000128873	ENSMUSG00000000253	0	0	0	0	0	0	0	0	0
ENSMUST00000129176	ENSMUSG00000000253	0	0	0	0	0	0	0	0	0
ENSMUST00000075603	ENSMUSG00000000263	0	0	0	0	0	0	0	0	0
ENSMUST00000102716	ENSMUSG00000000263	0	0	0	0	0	0	0	0	0
ENSMUST00000108853	ENSMUSG00000000263	0	0	0	0	0	0	0	0	0
ENSMUST00000112988	ENSMUSG00000000266	0	0.068898	0	0	0	0	0.291685	0.199803	0
ENSMUST00000112990	ENSMUSG00000000266	0.195056	0	1.265871	0	0.113881	0.109439	0	0	0
ENSMUST00000112993	ENSMUSG00000000266	1.067445	0.620767	0	1.226157	0.93836	1.172842	1.056834	0.876639	0.475511
ENSMUST00000128809	ENSMUSG00000000266	0	0.549889	0	0.374388	0	0.502879	0	0	0
ENSMUST00000140144	ENSMUSG00000000266	0.062245	0	0	0	0	0.038797	0	0	0
ENSMUST00000000284	ENSMUSG00000000275	0	0	0	0	0	0	0	0	0
ENSMUST00000100627	ENSMUSG00000000275	1.062795	0	0	0.284774	0	1.270271	0	0	0.086417
ENSMUST00000107896	ENSMUSG00000000275	23.316693	27.03047	24.74409	31.264109	31.671299	31.110623	28.817563	22.82509	14.981801
ENSMUST00000000285	ENSMUSG00000000276	0.301275	0.031541	0.49202	0.406924	0.370398	0.535016	0	0.144336	0.140199
ENSMUST00000107894	ENSMUSG00000000276	0.244389	0	0.07691	0.070217	0.21965	0.121537	0.282357	0.218851	0.189259
ENSMUST00000152772	ENSMUSG00000000276	0	0.634049	0	0	0	0.039577	0.217483	0	0
ENSMUST00000000287	ENSMUSG00000000278	23.381498	19.924335	17.343494	14.110706	18.732663	20.96284	16.917537	16.986641	12.726922
ENSMUST00000000291	ENSMUSG00000000282	2.878921	3.373899	3.76086	2.775755	3.321638	3.689731	4.351964	2.775706	3.089209
ENSMUST00000132150	ENSMUSG00000000282	0	0	0	0	0	0	0	0	0
ENSMUST00000133217	ENSMUSG00000000282	0	0	0	0	1.25573	0	0	0	0
ENSMUST00000000299	ENSMUSG00000000290	1.597307	2.051094	2.235832	2.293852	1.606108	1.919703	1.062973	1.896021	0.61989
ENSMUST00000130059	ENSMUSG00000000290	0	0	0	0	0.256636	0.217435	0	0	0
ENSMUST00000131023	ENSMUSG00000000290	0	0	0	0	0	0	0	0	0
ENSMUST00000153541	ENSMUSG00000000290	0	0	0	0	0	0	0	0	0.644152
ENSMUST00000156644	ENSMUSG00000000290	0	0	0	0	0	0	0	0	0
ENSMUST00000000304	ENSMUSG00000000295	1.375138	0.664072	0	0.835121	1.774034	0.624878	2.028357	1.409959	1.720741
ENSMUST00000159194	ENSMUSG00000000295	0	0	0	0	0.123813	0	0	0	0
ENSMUST00000159659	ENSMUSG00000000295	0	0	0	0	0	0	0	0	0
ENSMUST00000160447	ENSMUSG00000000295	0.173838	0	0	0	0	0	0	0.11012	0
ENSMUST00000162076	ENSMUSG00000000295	0	0	0	0	0	0.096521	0	0	0
ENSMUST00000000305	ENSMUSG00000000296	4.9167	3.646628	2.608541	3.564382	4.304512	4.191415	4.390266	4.013013	3.045297
ENSMUST00000000310	ENSMUSG00000000301	0	0	2.611702	0.907681	3.077158	0.995433	0	1.525023	1.481781
ENSMUST00000102692	ENSMUSG00000000301	337.531777	339.79352	348.099519	278.742235	314.314974	292.654517	328.126745	342.825538	314.500411
ENSMUST00000102693	ENSMUSG00000000301	6.776962	7.735582	5.679041	7.271382	9.157186	5.632742	3.193845	5.936172	5.266189
ENSMUST00000133028	ENSMUSG00000000301	0	0	0	0	0	0	0	0	0
ENSMUST00000136660	ENSMUSG00000000301	0.883977	0.53746	0.171973	0.115566	0	0.319169	0.158307	0.451562	0.231325
ENSMUST00000143646	ENSMUSG00000000301	0	2.124723	0	1.378713	0	0	2.273997	0	3.374898
ENSMUST00000146461	ENSMUSG00000000301	0	0	0	0	0	0	0	1.445874	0
ENSMUST00000147422	ENSMUSG00000000301	5.46664	0	0	3.227386	5.694685	1.464609	0.524462	3.926863	1.316583
ENSMUST00000148512	ENSMUSG00000000301	1.315508	0.392884	1.36707	0.793752	0	1.955916	0	1.025073	1.737644
ENSMUST00000150954	ENSMUSG00000000301	0	0	0	0	0	0	0	0	0
ENSMUST00000000312	ENSMUSG00000000303	4.845785	5.95826	5.089537	12.305339	13.860358	8.338825	12.384246	14.268449	8.785107
ENSMUST00000136580	ENSMUSG00000000303	0.740212	0	0	0	0	0	0	0	0
ENSMUST00000167688	ENSMUSG00000000303	0	0	0	0	0	0	0.098379	0	0.050857
ENSMUST00000000314	ENSMUSG00000000305	0.447503	0.265301	0.10648	0.154025	0.063563	0.166529	0.048485	0.042786	0.053476
ENSMUST00000098996	ENSMUSG00000000305	0	0	0	0	0	0	0	0	0
ENSMUST00000108911	ENSMUSG00000000305	0	0	0	0.158462	0	0.322507	0	0	0
ENSMUST00000124708	ENSMUSG00000000305	0	0	0	0	0	0	0	0	0
ENSMUST00000129659	ENSMUSG00000000305	0	0	0	0	0	0	0	0	0
ENSMUST00000136411	ENSMUSG00000000305	0	0	0	0	0	0	0	0	0
ENSMUST00000000317	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000078222	ENSMUSG00000000308	0	0	0	0	0	0.047968	0	0	0
ENSMUST00000125221	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000125812	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000126130	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000128612	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000129130	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000145380	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000150271	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000153040	ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUST00000000326	ENSMUSG00000000317	0.466171	0.320812	1.014858	0.287417	0.277556	0.39968	0.854664	0.239087	0.337323
ENSMUST00000140542	ENSMUSG00000000317	0	0	0	0	0	0	0	0	0.137148
ENSMUST00000153449	ENSMUSG00000000317	0	0	0	0	0	0	0	0	0
ENSMUST00000000327	ENSMUSG00000000318	0.168712	0.108458	0	0.045703	0	0.151287	0.434734	0.130628	0
ENSMUST00000102571	ENSMUSG00000000318	0	0	0	0	0	0	0	0	0
ENSMUST00000143298	ENSMUSG00000000318	0.538987	0	0	0	0	0	0	0	0
ENSMUST00000144935	ENSMUSG00000000318	0	0	0.152262	0	0	0	0	0	0
ENSMUST00000150966	ENSMUSG00000000318	0	0	0	0	0	0	0	0	0
ENSMUST00000152635	ENSMUSG00000000318	0	0	0	0	0	0	0	0	0
ENSMUST00000153959	ENSMUSG00000000318	0	0	0	0	0.151063	0	0	0	0
ENSMUST00000178567	ENSMUSG00000000318	0	0	0	0	0	0	0	0	0
ENSMUST00000178945	ENSMUSG00000000318	0	0	0	0	0.064032	0	0	0	0
ENSMUST00000180106	ENSMUSG00000000318	0	0	0	0	0	0	0	0	0
